id,title,company,location,type,salary,skills
1,Python Developer,TechCorp,Bangalore,Full-time,8 LPA,"Python,Flask,SQL"
2,Data Analyst,DataVision,Remote,Remote,6 LPA,"Python,Pandas,SQL"
3,Frontend Developer,StartupX,Hyderabad,Contract,5 LPA,"HTML,CSS,JavaScript"
4,Backend Developer,InnovateCo,Pune,Full-time,7 LPA,"Python,Django,SQL"
5,Machine Learning Engineer,AI Labs,Bangalore,Full-time,10 LPA,"Python,Machine Learning,TensorFlow"
6,DevOps Engineer,CloudTech,Remote,Remote,9 LPA,"AWS,Docker,Kubernetes"
7,Full Stack Developer,CodeWorks,Chennai,Full-time,8 LPA,"React,Node.js,MongoDB"
8,UI/UX Designer,DesignHub,Remote,Contract,5 LPA,"Figma,Adobe XD,Prototyping"
9,QA Tester,TestCorp,Delhi,Full-time,4 LPA,"Manual Testing,Automation,Selenium"
10,Data Scientist,DataVision,Bangalore,Full-time,12 LPA,"Python,Machine Learning,SQL"
11,System Engineer,Infosys,Mysore,Full-time,3.5 LPA,"Java,SQL,Linux"
12,Software Engineer,TCS,Mumbai,Full-time,4 LPA,"Java,Spring Boot,SQL"
13,Cloud Engineer,Amazon,Remote,Full-time,15 LPA,"AWS,Cloud,DevOps"
14,Cyber Security Analyst,SecureTech,Hyderabad,Full-time,9 LPA,"Security,Networking,Ethical Hacking"
15,Mobile App Developer,AppWorks,Bangalore,Contract,6 LPA,"Flutter,Dart,Android"
